Study: 2.16.840.1.113669.632.20.1211.10000406984
Series: 1.3.12.2.1107.5.1.4.54693.30000007022006435928100003237
SpacingX: 0.54296875
SpacingY: 0.54296875
SpacingZ: 1.0

label: reticulation
localisation: basal
slice_number: 22
nb_points_on_contour: 174
200.74010648833485 236.75164089961612
199.6233975079574 236.9749826956916
198.953372119731 236.9749826956916
198.28334673150454 236.9749826956916
197.61332134327813 236.9749826956916
196.94329595505167 236.9749826956916
196.2732705668252 236.9749826956916
195.3799033825232 236.9749826956916
194.70987799429685 236.9749826956916
194.03985260607038 236.9749826956916
193.36982721784398 236.9749826956916
192.6998018296175 236.9749826956916
192.02977644139105 236.9749826956916
191.35975105316464 236.9749826956916
190.68972566493818 236.75164089961612
190.01970027671166 236.75164089961612
189.34967488848525 236.30495730746514
188.45630770418336 235.85827371531417
187.7862823159569 235.85827371531417
187.1162569277305 235.1882483270877
186.892915131655 234.5182229388613
186.6695733355795 233.84819755063484
185.99954794735305 234.5182229388613
185.55286435520202 235.4115901231632
184.88283896697567 235.63493191923868
184.2128135787492 235.63493191923868
183.5427881905228 235.63493191923868
182.64942100622085 235.85827371531417
181.97939561799433 236.08161551138966
181.30937022976792 236.52829910354063
180.41600304546603 236.52829910354063
179.74597765723956 236.52829910354063
179.07595226901316 236.52829910354063
178.4059268807867 236.75164089961612
177.95924328863572 237.42166628784253
177.2892179004093 237.8683498799935
176.84253430825834 238.53837526821997
176.39585071610736 239.20840065644643
175.94916712395639 239.87842604467284
175.72582532788084 240.5484514328993
175.72582532788084 241.21847682112576
175.72582532788084 241.88850220935217
175.72582532788084 242.55852759757863
176.17250892003187 243.45189478188055
176.84253430825834 244.121920170107
177.2892179004093 244.79194555833348
177.95924328863572 245.2386291504844
178.4059268807867 245.90865453871083
179.07595226901316 245.90865453871083
179.74597765723956 245.90865453871083
180.41600304546603 245.90865453871083
181.08602843369243 245.90865453871083
181.7560538219189 245.90865453871083
182.42607921014536 245.90865453871083
183.09610459837182 245.90865453871083
183.76612998659817 245.90865453871083
184.4361553748247 245.90865453871083
185.10618076305116 245.90865453871083
185.77620615127756 245.90865453871083
186.44623153950403 245.90865453871083
187.33959872380592 245.90865453871083
188.00962411203238 245.90865453871083
188.67964950025885 245.90865453871083
189.34967488848525 245.90865453871083
190.01970027671166 245.90865453871083
190.68972566493818 245.90865453871083
191.35975105316464 245.90865453871083
192.02977644139105 245.68531274263535
192.6998018296175 245.2386291504844
193.36982721784398 245.2386291504844
194.03985260607038 244.79194555833348
194.70987799429685 244.34526196618248
195.3799033825232 243.8985783740315
196.04992877074972 243.675236577956
196.71995415897618 243.22855298580512
197.16663775112715 242.55852759757863
197.83666313935356 242.33518580150314
198.50668852758002 242.11184400542766
198.953372119731 241.44181861720128
199.6233975079574 241.21847682112576
200.29342289618387 240.7717932289748
200.74010648833485 240.10176784074832
201.85681546871223 239.2084006564464
202.3034990608632 238.53837526821997
202.97352444908967 238.091691676069
203.64354983731613 238.091691676069
204.31357522554254 238.091691676069
204.983600613769 237.64500808391801
205.65362600199546 237.42166628784253
206.32365139022187 237.19832449176704
206.99367677844833 236.52829910354063
207.66370216667474 235.85827371531417
208.3337275549012 235.63493191923868
208.5570693509767 234.96490653101225
209.22709473920315 234.74156473493676
209.67377833135407 234.07153934671032
210.12046192350505 233.4015139584839
210.56714551565602 232.73148857025745
211.013829107807 232.061463182031
211.46051269995797 231.39143779380453
211.90719629210895 230.7214124055781
212.35387988425987 230.05138701735166
213.02390527248633 229.60470342520068
213.4705888646373 228.93467803697425
214.1406142528637 228.2646526487478
214.81063964109018 228.2646526487478
215.48066502931664 228.04131085267232
215.92734862146756 227.37128546444586
216.37403221361853 226.70126007621943
216.8207158057695 226.031234687993
217.26739939792049 225.36120929976653
217.7140829900714 224.6911839115401
217.93742478614695 224.02115852331366
218.60745017437335 223.57447493116268
219.27747556259982 223.12779133901174
219.94750095082628 222.45776595078527
220.6175263390527 222.23442415470979
221.28755172727915 221.78774056255884
221.51089352335464 221.11771517433237
221.51089352335464 220.44768978610597
221.51089352335464 219.7776643978795
221.51089352335464 219.10763900965304
221.51089352335464 218.4376136214266
221.51089352335464 217.76758823320017
221.06420993120366 217.0975628449737
220.3941845429772 217.0975628449737
219.7241591547508 217.0975628449737
219.05413376652433 217.0975628449737
218.38410837829787 217.0975628449737
217.7140829900714 217.0975628449737
216.8207158057695 217.0975628449737
216.15069041754305 217.0975628449737
215.48066502931664 217.0975628449737
214.5872978450147 217.0975628449737
213.91727245678823 217.0975628449737
213.24724706856182 217.0975628449737
212.57722168033536 217.0975628449737
211.90719629210895 217.0975628449737
211.2371709038825 217.0975628449737
210.34380371958054 217.3209046410492
209.67377833135407 217.54424643712468
209.00375294312767 217.99093002927566
208.3337275549012 218.21427182535112
207.88704396275023 218.88429721357758
207.4403603705993 219.55432260180402
206.99367677844833 220.22434799003048
206.99367677844833 220.89437337825692
206.32365139022187 221.34105697040786
206.10030959414638 222.01108235863433
205.8769677980709 222.68110774686076
205.8769677980709 223.3511331350872
205.8769677980709 224.02115852331366
205.8769677980709 224.6911839115401
205.8769677980709 225.36120929976653
205.65362600199546 226.031234687993
205.43028420591997 226.70126007621943
204.983600613769 227.37128546444586
204.7602588176935 228.04131085267232
204.53691702161802 228.71133624089876
204.53691702161802 229.3813616291252
204.53691702161802 230.05138701735166
204.31357522554254 230.7214124055781
204.31357522554254 231.39143779380453
204.31357522554254 232.061463182031
204.31357522554254 232.73148857025745
204.31357522554254 233.4015139584839
204.31357522554254 234.07153934671032
204.31357522554254 234.74156473493676
204.31357522554254 235.4115901231632
204.31357522554254 236.08161551138966
203.42020804124058 236.52829910354063
202.5268408569387 236.7516408996161
201.85681546871223 236.97498269569158
201.18679008048582 236.97498269569158
slice_number: 23
nb_points_on_contour: 157
87.05913228591474 240.99513502505025
86.3891068976883 240.7717932289748
85.71908150946186 240.5484514328993
85.04905612123542 240.5484514328993
84.15568893693347 240.5484514328993
83.48566354870704 240.5484514328993
82.8156381604806 240.5484514328993
82.14561277225415 240.5484514328993
81.4755873840277 240.5484514328993
80.80556199580127 240.5484514328993
80.1355366075748 240.5484514328993
79.46551121934837 240.5484514328993
78.79548583112194 240.3251096368238
77.90211864682 240.10176784074832
77.23209325859355 239.65508424859735
76.56206787036712 239.2084006564464
75.6687006860652 238.76171706429545
74.99867529783874 238.31503347214448
74.10530811353681 238.091691676069
73.21194092923488 237.64500808391801
72.54191554100845 237.19832449176704
71.871890152782 236.97498269569158
71.20186476455555 236.7516408996161
70.53183937632912 236.30495730746514
69.86181398810267 236.08161551138966
69.19178859987622 235.63493191923868
68.2984214155743 235.4115901231632
67.62839602734786 234.96490653101225
66.9583706391214 234.5182229388613
66.28834525089496 234.2948811427858
65.39497806659304 233.62485575455935
64.72495267836659 233.1781721624084
64.05492729014014 232.9548303663329
63.3849019019137 232.50814677418197
62.71487651368726 232.28480497810648
62.04485112546081 231.8381213859555
61.37482573723437 231.39143779380453
60.704800349007925 231.16809599772907
60.034774960781476 230.7214124055781
59.364749572555034 230.27472881342715
58.69472418432859 229.82804522127617
58.02469879610214 229.1580198330497
57.3546734078757 228.71133624089876
56.90798981572474 228.04131085267232
56.23796442749829 227.59462726052135
55.56793903927185 226.92460187229491
54.8979136510454 226.47791828014394
54.67457185496992 225.8078928919175
54.22788826281896 225.13786750369107
53.781204670668004 224.4678421154646
53.557862874592516 223.79781672723817
53.111179282441555 223.12779133901174
52.88783748636607 222.45776595078527
52.441153894215105 221.78774056255884
51.994470302064144 221.11771517433237
51.77112850598867 220.44768978610597
51.54778670991318 219.7776643978795
51.324444913837695 219.10763900965304
51.324444913837695 218.4376136214266
51.10110311776222 217.76758823320017
51.10110311776222 217.0975628449737
51.54778670991318 216.42753745674727
52.21781209813963 215.98085386459633
52.88783748636607 215.75751206852084
53.557862874592516 215.75751206852084
54.22788826281896 215.75751206852084
54.8979136510454 215.75751206852084
55.56793903927185 215.75751206852084
56.46130622357377 216.42753745674727
57.13133161180022 216.87422104889822
57.80135700002666 217.3209046410492
58.471382388253105 217.76758823320017
59.141407776479554 218.21427182535112
59.588091368630515 218.88429721357758
60.25811675685696 219.10763900965304
60.704800349007925 219.7776643978795
61.37482573723437 219.7776643978795
62.04485112546081 220.44768978610597
62.71487651368726 220.67103158218143
63.3849019019137 220.67103158218143
64.05492729014014 220.89437337825692
64.72495267836659 221.11771517433237
65.39497806659304 221.56439876648335
66.06500345481948 221.78774056255884
66.73502884304592 222.23442415470979
67.40505423127237 222.23442415470979
68.07507961949881 222.90444954293625
68.74510500772526 223.12779133901174
69.4151303959517 223.79781672723817
70.08515578417814 224.24450031938912
70.75518117240459 224.6911839115401
71.42520656063104 224.91452570761558
71.871890152782 225.58455109584202
72.54191554100845 225.8078928919175
73.21194092923488 226.70126007621943
74.10530811353681 227.37128546444586
74.77533350176327 228.04131085267232
75.4453588899897 228.2646526487478
75.89204248214067 228.93467803697425
76.56206787036712 229.1580198330497
77.23209325859355 229.3813616291252
78.12546044289547 229.60470342520068
79.01882762719741 230.05138701735166
79.68885301542386 230.27472881342715
80.3588784036503 230.7214124055781
81.02890379187676 230.7214124055781
81.69892918010319 231.16809599772907
82.59229636440512 231.61477958988002
83.26232175263155 231.8381213859555
83.932347140858 231.8381213859555
84.60237252908445 231.8381213859555
85.2723979173109 231.8381213859555
85.94242330553735 231.8381213859555
86.61244869376378 231.8381213859555
87.28247408199022 231.8381213859555
87.95249947021668 231.8381213859555
88.62252485844311 231.8381213859555
89.51589204274504 231.8381213859555
90.40925922704696 231.8381213859555
91.07928461527341 231.8381213859555
91.74931000349986 231.8381213859555
92.4193353917263 231.8381213859555
93.08936077995274 232.061463182031
93.75938616817919 232.061463182031
94.42941155640563 232.061463182031
95.09943694463209 232.28480497810648
95.76946233285852 232.50814677418197
96.43948772108497 232.50814677418197
97.10951310931141 232.50814677418197
97.77953849753786 232.50814677418197
98.44956388576429 232.9548303663329
99.11958927399075 232.9548303663329
99.78961466221719 232.9548303663329
100.23629825436815 233.62485575455935
100.23629825436815 234.2948811427858
100.23629825436815 234.96490653101225
100.23629825436815 235.63493191923868
100.01295645829268 236.30495730746514
100.01295645829268 236.97498269569158
99.78961466221719 237.64500808391801
99.11958927399075 237.8683498799935
98.44956388576429 237.8683498799935
97.77953849753786 237.8683498799935
97.10951310931141 237.8683498799935
96.43948772108497 237.8683498799935
95.76946233285852 237.8683498799935
95.09943694463209 237.8683498799935
94.42941155640563 237.8683498799935
93.75938616817919 238.31503347214448
93.08936077995274 238.76171706429545
92.4193353917263 239.2084006564464
91.74931000349986 239.43174245252186
91.07928461527341 240.10176784074832
90.40925922704696 240.10176784074832
89.73923383882052 240.10176784074832
89.06920845059408 240.10176784074832
88.62252485844311 240.7717932289748
nb_points_on_contour: 171
202.5268408569387 242.11184400542766
203.19686624516515 241.88850220935217
203.86689163339162 241.66516041327668
204.53691702161802 241.21847682112573
205.2069424098445 240.99513502505025
205.65362600199546 240.3251096368238
206.10030959414638 239.65508424859735
206.54699318629736 238.9850588603709
206.99367677844833 238.31503347214448
207.66370216667474 237.8683498799935
208.3337275549012 237.19832449176704
209.00375294312767 236.7516408996161
209.67377833135407 236.08161551138966
