Study: 1.2.840.113704.1.111.2716.1107945765.1
Series: 1.2.840.113704.1.111.2716.1107945848.7
SpacingX: 0.849609375
SpacingY: 0.849609375
SpacingZ: 10.0

label: fibrosis
localisation: non-relevant
slice_number: 10
nb_points_on_contour: 101
150.57217007217605 290.68454632580534
149.62810919589015 289.26845501137643
147.73998744331834 286.67228760159014
145.85186569074648 284.07612019180385
145.37983525260353 282.660028877375
144.90780481446058 280.7719071248032
144.43577437631757 279.3558158103743
144.43577437631757 277.93972449594537
143.96374393817462 276.5236331815165
143.96374393817462 275.1075418670876
143.0196830618887 273.6914505526587
142.07562218560275 272.27535923822984
141.6035917474598 270.859267923801
140.1875004330309 269.915207047515
138.77140911860204 268.4991157330861
137.35531780417313 267.5550548568002
135.93922648974421 267.5550548568002
134.52313517531536 267.5550548568002
133.10704386088645 267.5550548568002
131.69095254645765 267.5550548568002
129.8028307938858 267.5550548568002
128.38673947945688 267.5550548568002
126.49861772688502 267.5550548568002
125.08252641245616 267.5550548568002
123.66643509802725 267.5550548568002
122.2503437835984 267.5550548568002
120.83425246916948 268.02708529494316
119.41816115474057 268.02708529494316
118.00206984031172 268.4991157330861
116.11394808773986 268.97114617122907
114.697856773311 269.4431766093721
113.28176545888209 270.859267923801
111.86567414445318 271.8033288000869
110.92161326816728 273.6914505526587
109.50552195373842 274.63551142894465
108.56146107745246 276.05160274337356
107.61740020116656 277.4676940578024
107.14536976302361 278.88378537223133
106.20130888673765 280.2998766866602
105.7292784485947 281.7159680010891
105.7292784485947 283.13205931551795
105.7292784485947 284.5481506299468
106.20130888673765 285.9642419443757
106.67333932488066 287.3803332588046
108.08943063930951 288.7964245732335
108.56146107745246 290.2125158876624
109.03349151559547 291.6286072020913
109.97755239188137 293.04469851652016
110.44958283002433 294.460789830949
111.39364370631029 295.8768811453779
112.33770458259619 297.29297245980683
112.80973502073914 298.7090637742357
113.75379589702504 300.5971855268075
115.16988721145395 301.54124640309345
115.6419176495969 302.95733771752236
117.05800896402582 304.3734290319512
118.00206984031172 305.78952034638013
119.41816115474057 307.677642098952
121.77831334545539 310.03779428966675
122.72237422174135 311.45388560409566
124.1384655361702 312.86997691852457
125.08252641245616 314.2860682329534
126.49861772688502 315.23012910923933
127.91470904131393 316.64622042366824
129.33080035574278 318.06231173809715
130.7468916701717 319.00637261438305
132.63501342274355 320.4224639288119
134.52313517531536 321.8385552432408
135.46719605160126 323.25464655766973
136.88328736603017 324.19870743395563
138.77140911860204 324.19870743395563
140.1875004330309 324.19870743395563
141.6035917474598 322.7826161195268
143.0196830618887 321.36652480509787
144.43577437631757 319.95043349066896
145.85186569074648 319.00637261438305
147.2679570051754 317.59028129995414
148.6840483196042 316.17418998552523
149.62810919589015 314.7580986710964
151.516230948462 312.3979464803816
151.98826138660496 310.9818551659527
151.98826138660496 309.5657638515238
151.98826138660496 308.14967253709494
151.98826138660496 306.2615507845231
151.516230948462 304.84545947009417
151.516230948462 303.4293681556653
151.044200510319 302.0132768412364
150.57217007217605 300.5971855268075
149.62810919589015 299.18109421237864
149.15607875774714 297.29297245980683
148.6840483196042 295.8768811453779
147.73998744331834 294.460789830949
146.79592656703232 293.04469851652016
145.85186569074648 291.6286072020913
144.90780481446058 290.2125158876624
144.90780481446058 288.7964245732335
144.43577437631757 287.3803332588046
144.43577437631757 285.9642419443757
143.96374393817462 284.07612019180385
143.49171350003166 282.660028877375
