Study: 1.2.840.113619.2.30.1.1762288805.1871.1070287851.148
Series: 1.2.840.113619.2.30.1.1762288805.1871.1070287851.152
SpacingX: 0.703125
SpacingY: 0.703125
SpacingZ: 10.0

label: fibrosis
localisation: non-relevant
slice_number: 10
nb_points_on_contour: 98
236.64448313563634 247.73939325718203
236.89507675244994 248.49117410762292
236.89507675244994 249.24295495806388
236.89507675244994 249.9947358085048
236.89507675244994 250.74651665894567
236.89507675244994 251.49829750938656
236.89507675244994 252.2500783598275
237.3962639860772 253.00185921026844
237.8974512197045 253.7536400607093
238.39863845333178 254.5054209111502
238.89982568695905 255.25720176159115
239.15041930377268 256.00898261203207
239.40101292058634 256.76076346247294
239.40101292058634 257.51254431291386
239.40101292058634 258.2643251633548
239.40101292058634 259.0161060137957
239.40101292058634 259.7678868642366
239.40101292058634 260.5196677146775
239.40101292058634 261.2714485651184
239.40101292058634 262.02322941555934
239.40101292058634 262.7750102660002
239.40101292058634 263.52679111644113
239.40101292058634 264.27857196688205
240.15279377102723 264.77975920050926
240.9045746214681 264.77975920050926
241.65635547190902 264.77975920050926
242.40813632234995 264.77975920050926
243.15991717279087 264.77975920050926
243.91169802323176 264.77975920050926
244.6634788736727 264.77975920050926
245.4152597241136 264.77975920050926
246.1670405745545 264.77975920050926
246.91882142499537 264.52916558369566
247.6706022754363 264.02797835006834
247.92119589224993 263.02560388281387
248.67297674269082 263.02560388281387
249.42475759313174 262.5244166491866
250.17653844357267 262.02322941555934
250.92831929401356 261.522042181932
251.93069376126812 261.2714485651184
252.682474611709 260.5196677146775
253.43425546214993 260.01848048105023
254.4366299294045 259.7678868642366
254.93781716303175 259.0161060137957
255.68959801347268 258.5149187801684
256.19078524709994 257.76313792972746
256.94256609754086 257.26195069610026
257.6943469479818 256.76076346247294
258.4461277984227 256.00898261203207
259.1979086488635 255.50779537840478
259.94968949930444 255.0066081447775
260.70147034974536 254.5054209111502
261.2026575833726 253.7536400607093
261.7038448169999 253.00185921026844
262.4556256674408 252.2500783598275
262.95681290106813 251.49829750938656
263.70859375150906 250.99711027575933
264.20978098513626 250.24532942531843
264.4603746019499 249.4935485748775
264.4603746019499 248.7417677244366
263.95918736832266 247.9899868739957
263.20740651788174 247.9899868739957
262.4556256674408 247.9899868739957
261.7038448169999 247.9899868739957
260.95206396655897 248.24058049080932
260.2002831161181 248.24058049080932
259.1979086488635 248.49117410762292
258.4461277984227 248.7417677244366
257.6943469479818 249.24295495806388
256.94256609754086 249.7441421916911
256.19078524709994 249.7441421916911
255.43900439665902 249.7441421916911
254.6872235462181 249.24295495806388
253.93544269577717 249.24295495806388
253.1836618453363 249.24295495806388
252.43188099489538 249.4935485748775
251.68010014445446 249.4935485748775
250.9283192940136 250.24532942531843
250.1765384435727 250.74651665894567
249.6753512099454 251.49829750938656
248.9235703595045 251.74889112620025
248.1717895090636 251.74889112620025
247.42000865862266 251.74889112620025
246.66822780818177 251.49829750938656
245.91644695774085 251.24770389257293
245.16466610729992 251.24770389257293
244.412885256859 251.24770389257293
243.66110440641813 250.74651665894567
242.9093235559772 249.9947358085048
242.1575427055363 249.4935485748775
241.40576185509542 248.99236134125022
240.9045746214681 247.9899868739957
240.15279377102723 247.4887996403684
239.40101292058634 246.7370187899275
238.64923207014542 246.48642517311387
237.8974512197045 246.48642517311387
237.1456703692636 246.98761240674116
236.64448313563634 247.73939325718203
slice_number: 15
nb_points_on_contour: 258
206.9556034569795 113.62928138780859
207.9579779242341 113.87987500462219
208.70975877467487 113.87987500462219
209.71213324192945 114.38106223824948
210.96510132599767 114.38106223824948
212.21806941006588 114.38106223824948
212.9698502605067 114.63165585506312
213.7216311109476 114.88224947187672
214.72400557820217 114.88224947187672
215.72638004545678 114.88224947187672
216.4781608958976 114.88224947187672
217.8499618746136 114.92477634595494
218.10055549142726 114.17299549551402
218.35114910824086 113.42121464507312
218.6017427250545 112.66943379463223
219.10292995868178 111.9176529441913
219.6041171923091 111.16587209375041
220.10530442593637 110.41409124330949
220.6064916595637 109.66231039286859
221.3582725100046 109.1611231592413
221.85945974363176 108.40934230880038
222.3606469772592 107.65756145835954
222.61124059407268 106.90578060791859
223.11242782769995 105.90340614066403
223.61361506132727 105.15162529022317
224.11480229495453 104.39984443978221
224.61598952858185 103.64806358934135
225.36777037902277 102.8962827389004
226.11955122946358 102.39509550527313
226.8713320799045 102.39509550527313
227.62311293034543 102.39509550527313
228.37489378078635 102.39509550527313
229.12667463122725 102.39509550527313
229.87845548166817 102.8962827389004
230.63023633210912 103.64806358934135
231.13142356573638 104.39984443978221
231.88320441617736 105.15162529022317
232.63498526661812 105.90340614066403
233.38676611705904 106.15399975747769
234.13854696749996 106.4045933742913
234.89032781794094 106.4045933742913
235.64210866838175 106.4045933742913
236.64448313563645 106.4045933742913
237.3962639860772 106.15399975747769
238.39863845333178 106.15399975747769
239.1504193037727 105.6528125238504
239.90220015421363 105.40221890703677
240.65398100465455 105.15162529022317
241.40576185509542 104.90103167340948
242.1575427055363 104.39984443978221
242.9093235559772 104.14925082296861
243.15991717279087 103.39746997252766
243.66110440641813 102.6456891220868
244.16229164004542 101.89390827164587
244.16229164004542 101.14212742120498
244.412885256859 100.39034657076405
244.91407249048638 99.63856572032316
245.66585334092719 99.13737848669587
246.4176341913681 99.13737848669587
247.16941504180903 99.13737848669587
248.1717895090636 99.13737848669587
248.9235703595045 99.13737848669587
249.925944826759 99.13737848669587
250.67772567719993 99.3879721035095
251.68010014445446 99.63856572032316
252.68247461170904 99.88915933713676
253.43425546214996 100.39034657076405
254.1860363125909 100.89153380439132
254.93781716303175 101.14212742120498
255.68959801347268 101.64331465483224
256.6919724807272 102.39509550527313
257.44375333116807 102.6456891220868
257.9449405647954 103.39746997252766
258.4461277984227 104.14925082296861
259.1979086488635 104.90103167340948
259.69909588249084 105.6528125238504
260.2002831161181 106.4045933742913
260.95206396655897 106.90578060791859
261.7038448169999 107.15637422473222
262.4556256674408 107.15637422473222
263.45800013469534 107.65756145835954
263.70859375150906 108.40934230880038
264.20978098513626 109.1611231592413
264.9615618355772 109.66231039286859
265.46274906920445 110.41409124330949
265.7133426860181 111.16587209375041
265.9639363028317 111.9176529441913
266.2145299196454 112.66943379463223
266.2145299196454 113.42121464507312
266.46512353645903 114.17299549551402
266.71571715327264 114.92477634595494
266.96631077008624 115.67655719639583
267.71809162052716 116.42833804683676
267.9686852373409 117.18011889727765
268.7204660877818 117.68130613090494
269.4722469382226 118.1824933645322
270.22402778866353 118.93427421497313
270.97580863910446 119.18486783178676
271.7275894895454 119.68605506541402
272.4793703399863 119.93664868222766
273.23115119042717 119.93664868222766
273.9829320408681 120.18724229904129
274.73471289130896 120.18724229904129
275.73708735856354 120.18724229904129
276.4888682090044 120.18724229904129
277.24064905944533 120.18724229904129
277.99242990988625 120.18724229904129
278.7442107603272 120.18724229904129
279.4959916107681 120.18724229904129
280.24777246120897 119.93664868222766
280.74895969483623 119.18486783178676
281.25014692846355 118.43308698134587
281.25014692846355 117.68130613090494
280.9995533116499 116.92952528046405
280.24777246120897 116.17774443002313
280.24777246120897 115.42596357958223
279.7465852275817 114.67418272914131
278.9948043771408 114.42358911232768
278.2430235266999 113.67180826188675
277.74183629307265 112.92002741144586
277.24064905944533 112.16824656100493
276.4888682090044 111.66705932737767
275.73708735856354 110.91527847693675
274.9853065081226 110.16349762649585
274.9853065081226 109.41171677605493
274.73471289130896 108.65993592561404
274.23352565768175 107.90815507517311
273.48174480724083 107.15637422473222
273.23115119042717 106.4045933742913
272.9805575736135 105.6528125238504
272.9805575736135 104.90103167340948
272.4793703399863 103.89865720615495
272.22877672317264 103.14687635571406
271.4769958727317 102.39509550527313
270.97580863910446 101.64331465483224
270.7252150222908 100.89153380439132
270.22402778866353 100.13975295395042
269.4722469382226 100.13975295395042
268.7204660877818 100.13975295395042
267.9686852373409 99.88915933713676
267.71809162052716 99.13737848669587
267.46749800371356 98.38559763625494
266.71571715327264 98.13500401944134
266.46512353645903 97.38322316900042
265.9639363028317 96.63144231855952
265.2121554523908 96.13025508493223
264.7109682187635 95.37847423449136
264.4603746019499 94.62669338405041
264.20978098513626 93.87491253360955
263.70859375150906 93.1231316831686
263.20740651788174 92.37135083272773
262.4556256674408 92.12075721591404
261.95443843381355 91.36897636547315
261.4532512001863 90.61719551503222
260.70147034974536 90.36660189821862
260.2002831161181 89.6148210477777
259.4485022656772 89.86541466459133
258.69672141523625 89.36422743096409
257.9449405647954 89.1136338141504
257.19315971435446 88.86304019733683
256.44137886391354 88.36185296370951
255.68959801347268 88.11125934689588
254.93781716303175 87.61007211326859
254.1860363125909 87.35947849645498
253.43425546214996 87.10888487964132
252.68247461170904 86.85829126282769
251.93069376126812 86.35710402920046
251.1789129108272 86.35710402920046
250.42713206038627 85.85591679557317
249.67535120994546 85.6053231787595
248.9235703595045 85.85591679557317
248.42238312587722 85.6053231787595
247.6706022754363 85.6053231787595
246.91882142499537 85.6053231787595
246.1670405745545 85.6053231787595
245.41525972411364 85.6053231787595
244.66347887367272 85.6053231787595
243.9116980232318 85.6053231787595
243.15991717279087 85.6053231787595
242.40813632234995 85.6053231787595
241.65635547190902 85.6053231787595
240.9045746214681 85.6053231787595
240.1527937710273 85.6053231787595
239.40101292058634 85.6053231787595
238.64923207014542 85.6053231787595
237.8974512197045 85.6053231787595
237.1456703692636 85.6053231787595
236.39388951882268 85.6053231787595
235.64210866838175 85.6053231787595
234.89032781794094 85.6053231787595
234.13854696749996 85.85591679557317
233.38676611705904 85.85591679557317
232.63498526661812 85.85591679557317
231.88320441617736 85.85591679557317
231.13142356573638 85.85591679557317
230.37964271529546 85.85591679557317
229.62786186485454 85.85591679557317
228.87608101441361 86.10651041238677
228.12430016397266 86.35710402920046
227.37251931353177 86.60769764601406
226.3701448462773 87.10888487964132
225.61836399583638 87.35947849645498
224.61598952858185 87.61007211326859
223.61361506132727 87.61007211326859
222.86183421088634 87.61007211326859
222.11005336044542 87.61007211326859
221.3582725100046 87.86066573008227
220.6064916595637 87.86066573008227
219.85471080912276 88.11125934689588
219.10292995868178 88.36185296370951
218.35114910824086 88.86304019733683
217.59936825780005 89.36422743096409
216.84758740735913 89.86541466459133
216.34640017373175 90.61719551503222
215.8452129401046 91.36897636547315
215.34402570647728 92.12075721591404
214.59224485603636 92.62194444954133
213.58987038878178 93.37372529998225
212.83808953834085 93.87491253360955
212.08630868790004 94.37609976723678
211.58512145427278 95.12788061767768
210.83334060383183 95.62906785130497
210.0815597533909 96.13025508493223
209.5803725197636 96.88203593537312
208.8285916693227 97.38322316900042
208.57799805250906 98.13500401944134
207.7073843074203 99.34544522943133
206.9556034569795 99.84663246305857
206.20382260653858 100.59841331349946
205.95322898972495 101.35019416394039
205.201448139284 102.35256863119497
204.70026090565673 103.35494309844947
204.44966728884307 104.10672394889039
204.5685001834909 106.65518699110498
203.81671933304997 106.65518699110498
203.06493848260914 106.90578060791859
202.56375124898184 107.65756145835954
202.3131576321682 108.40934230880038
202.3131576321682 109.1611231592413
202.3131576321682 109.91290400968222
202.31315763216818 110.41409124330949
202.06256401535455 111.16587209375041
201.56137678172723 111.66705932737767
201.3107831649136 112.41884017781857
200.80959593128634 113.17062102825949
200.30840869765908 113.92240187870038
200.05781508084544 114.67418272914131
199.80722146403178 115.42596357958223
199.55662784721815 116.17774443002313
200.05781508084544 116.17774443002313
200.80959593128642 115.9271508132095
201.5613767817273 115.42596357958223
202.3131576321682 114.92477634595494
202.56375124898184 114.17299549551402
203.31553209942268 113.67180826188675
204.31790656667724 113.17062102825949
205.0696874171182 112.92002741144586
205.8214682675591 112.92002741144586
slice_number: 16
nb_points_on_contour: 202
207.82621720206822 117.93189974771857
208.57799805250906 117.93189974771857
209.5803725197636 117.68130613090494
210.33215337020457 117.43071251409131
211.08393422064546 116.92952528046405
211.83571507108638 116.67893166365039
212.58749592152722 116.42833804683676
213.33927677196814 115.9271508132095
214.0910576224091 115.9271508132095
214.84283847285002 115.9271508132095
215.5946193232909 115.67655719639583
216.34640017373175 115.42596357958223
217.09818102417267 115.17536996276857
217.8499618746136 114.92477634595494
218.6017427250545 114.92477634595494
219.35352357549544 114.42358911232768
220.10530442593637 114.17299549551402
220.8570852763773 114.17299549551402
221.60886612681819 114.17299549551402
222.3606469772591 114.42358911232768
223.11242782769995 114.42358911232768
223.86420867814087 114.42358911232768
224.61598952858185 114.42358911232768
225.36777037902277 114.42358911232768
226.11955122946358 114.42358911232768
226.8713320799045 114.42358911232768
227.62311293034543 114.42358911232768
228.37489378078635 114.67418272914131
229.12667463122725 114.67418272914131
229.87845548166817 114.67418272914131
230.6302363321091 114.42358911232768
231.38201718254993 113.67180826188675
231.6326107993636 112.92002741144586
231.88320441617728 112.16824656100493
231.88320441617728 111.41646571056404
231.88320441617728 110.66468486012312
231.88320441617728 109.91290400968222
232.13379803299085 109.1611231592413
232.3843916498045 108.1587486919868
233.13617250024544 107.40696784154585
233.6373597338727 106.65518699110498
234.38914058431362 106.15399975747769
234.63973420112725 105.40221890703677
235.39151505156818 104.90103167340948
236.14329590200902 104.14925082296861
236.89507675244994 103.64806358934135
237.64685760289086 103.14687635571406
238.39863845333178 102.6456891220868
239.1504193037727 102.14450188845953
239.90220015421363 101.64331465483224
240.65398100465455 101.64331465483224
241.40576185509542 101.64331465483224
242.1575427055363 101.64331465483224
243.15991717279087 101.89390827164587
243.9116980232318 102.39509550527313
244.66347887367272 102.8962827389004
245.41525972411364 103.39746997252766
246.1670405745545 103.64806358934135
246.91882142499537 104.14925082296861
247.6706022754363 104.65043805659587
248.42238312587722 105.40221890703677
249.17416397631808 105.6528125238504
249.925944826759 105.90340614066403
250.9283192940136 106.15399975747769
251.68010014445446 106.15399975747769
252.68247461170904 106.15399975747769
253.6848490789636 106.15399975747769
254.43662992940452 106.15399975747769
255.18841077984536 105.90340614066403
255.94019163028628 105.6528125238504
256.6919724807272 105.6528125238504
257.44375333116807 105.6528125238504
258.4461277984227 105.40221890703677
259.1979086488635 105.15162529022317
259.94968949930444 104.90103167340948
260.70147034974536 104.65043805659587
261.7038448169999 104.39984443978221
262.7062192842545 104.14925082296861
263.70859375150906 104.14925082296861
264.4603746019499 104.14925082296861
265.2121554523908 104.14925082296861
265.9639363028317 104.14925082296861
266.71571715327264 104.14925082296861
267.71809162052716 104.14925082296861
268.4698724709681 104.14925082296861
269.221653321409 104.14925082296861
269.97343417184993 104.14925082296861
270.7252150222908 104.14925082296861
271.4769958727317 104.14925082296861
272.22877672317264 104.14925082296861
272.9805575736135 103.64806358934135
273.73233842405443 103.14687635571406
274.48411927449536 102.6456891220868
274.9853065081226 101.89390827164587
275.2359001249363 101.14212742120498
275.2359001249363 100.39034657076405
274.9853065081226 99.63856572032316
274.23352565768175 99.3879721035095
273.73233842405443 98.6361912530686
272.9805575736135 98.38559763625494
272.4793703399863 97.63381678581405
271.7275894895454 97.13262955218678
270.97580863910446 96.63144231855952
270.4746214054772 95.8796614681186
269.97343417184993 95.12788061767768
269.221653321409 94.62669338405041
268.4698724709681 93.87491253360952
267.71809162052716 93.37372529998225
266.96631077008624 92.87253806635496
266.2145299196454 92.87253806635496
265.46274906920445 92.87253806635496
264.7109682187635 92.87253806635496
263.95918736832266 92.87253806635496
263.20740651788174 92.87253806635496
262.7062192842545 92.12075721591404
261.95443843381355 91.87016359910044
261.4532512001863 91.11838274865951
260.45087673293176 90.86778913184591
259.94968949930444 90.11600828140496
259.1979086488635 89.6148210477777
258.4461277984227 89.36422743096409
257.6943469479818 89.1136338141504
256.94256609754086 88.86304019733683
256.19078524709994 88.86304019733683
255.43900439665902 88.86304019733683
254.6872235462181 88.61244658052314
253.93544269577717 88.36185296370951
253.1836618453363 88.11125934689588
252.43188099489538 87.86066573008227
251.68010014445446 87.61007211326859
250.9283192940136 87.61007211326859
250.17653844357272 87.61007211326859
249.17416397631808 87.61007211326859
248.42238312587722 87.61007211326859
247.6706022754363 87.61007211326859
246.91882142499537 87.61007211326859
246.1670405745545 87.61007211326859
245.41525972411364 87.61007211326859
244.66347887367272 87.61007211326859
243.9116980232318 87.61007211326859
242.9093235559772 87.61007211326859
242.1575427055363 87.61007211326859
241.40576185509542 87.61007211326859
240.65398100465455 87.61007211326859
239.90220015421363 87.61007211326859
239.1504193037727 87.61007211326859
238.39863845333178 87.61007211326859
237.64685760289086 87.86066573008227
236.89507675244994 88.36185296370951
236.14329590200902 88.61244658052314
235.39151505156818 88.86304019733683
234.63973420112725 89.1136338141504
233.88795335068633 89.36422743096409
233.13617250024544 89.6148210477777
232.3843916498045 89.86541466459133
231.6326107993636 90.11600828140496
230.88082994892267 90.36660189821862
230.12904909848186 90.86778913184591
229.37726824804093 91.36897636547315
228.62548739759995 91.61956998228678
227.87370654715903 92.12075721591404
227.1219256967182 92.62194444954133
226.37014484627727 92.87253806635496
225.61836399583638 93.1231316831686
224.86658314539545 93.1231316831686
224.11480229495453 93.37372529998225
223.36302144451358 93.62431891679586
222.61124059407268 93.87491253360955
221.85945974363176 94.37609976723678
221.35827251000455 95.12788061767768
220.6064916595637 95.8796614681186
219.85471080912276 96.38084870174589
219.10292995868178 96.88203593537312
218.6017427250545 97.63381678581405
217.8499618746136 98.38559763625494
217.09818102417267 98.88678486988223
216.34640017373175 99.63856572032316
215.5946193232909 100.39034657076405
214.84283847285002 101.14212742120498
214.0910576224091 101.64331465483224
213.33927677196814 102.14450188845953
212.58749592152722 102.8962827389004
212.08630868790002 103.64806358934135
211.83571507108638 104.39984443978221
211.33452783745912 105.15162529022317
210.83334060383183 105.90340614066403
210.5827469870182 106.65518699110498
210.33215337020457 107.40696784154585
210.0815597533909 108.1587486919868
209.5803725197636 108.91052954242767
209.5803725197636 109.66231039286859
209.07918528613632 110.41409124330949
209.07918528613632 111.16587209375041
209.07918528613632 111.9176529441913
208.8285916693227 112.66943379463223
208.32740443569548 113.42121464507312
207.57562358525456 113.92240187870038
207.0744363516273 114.67418272914131
206.82384273481367 115.42596357958223
206.82384273481367 116.17774443002313
206.82384273481367 116.92952528046405
206.82384273481367 117.68130613090494
slice_number: 17
nb_points_on_contour: 182
205.82146826755908 108.40934230880038
206.573249118 108.40934230880038
207.3250299684409 108.40934230880038
208.07681081888177 108.40934230880038
208.8285916693227 108.40934230880038
209.5803725197636 108.1587486919868
210.33215337020454 107.90815507517311
211.08393422064543 107.65756145835954
211.83571507108636 107.40696784154585
212.83808953834085 107.15637422473222
213.58987038878178 107.15637422473222
214.3416512392227 107.15637422473222
215.09343208966362 107.15637422473222
215.84521294010455 107.15637422473222
216.59699379054544 107.15637422473222
217.34877464098633 107.15637422473222
218.10055549142726 107.15637422473222
218.85233634186818 107.15637422473222
219.8547108091227 107.15637422473222
220.85708527637726 107.15637422473222
221.85945974363176 107.15637422473222
222.61124059407268 106.90578060791859
223.36302144451358 106.65518699110498
224.11480229495453 106.4045933742913
225.11717676220908 106.15399975747769
225.86895761264998 105.40221890703677
227.12192569671816 104.90103167340948
227.87370654715903 104.14925082296861
229.12667463122725 103.64806358934135
229.87845548166817 103.14687635571406
231.13142356573636 102.6456891220868
232.13379803299085 102.14450188845953
233.13617250024544 101.39272103801858
233.88795335068633 101.14212742120498
234.63973420112725 100.64094018757768
235.64210866838175 100.13975295395042
236.39388951882268 100.13975295395042
237.3962639860772 99.63856572032316
238.39863845333178 99.63856572032316
239.40101292058634 99.3879721035095
240.15279377102723 99.13737848669587
240.9045746214681 98.88678486988223
241.65635547190902 98.6361912530686
242.40813632234995 98.38559763625494
243.15991717279087 98.13500401944134
243.91169802323176 97.88441040262768
244.6634788736727 97.88441040262768
245.4152597241136 97.88441040262768
246.1670405745545 97.88441040262768
246.91882142499537 97.88441040262768
247.6706022754363 97.88441040262768
248.42238312587722 97.88441040262768
249.17416397631808 97.88441040262768
249.925944826759 97.88441040262768
250.67772567719993 97.88441040262768
251.42950652764083 98.13500401944134
252.18128737808175 98.38559763625494
252.68247461170904 99.13737848669587
253.43425546214996 99.3879721035095
253.93544269577717 100.13975295395042
254.6872235462181 100.89153380439132
255.18841077984536 101.64331465483224
255.43900439665902 102.39509550527313
255.43900439665902 103.14687635571406
255.43900439665902 103.89865720615495
255.43900439665902 104.90103167340948
255.68959801347268 105.6528125238504
256.44137886391354 106.15399975747769
257.19315971435446 106.4045933742913
257.9449405647954 106.65518699110498
258.69672141523625 106.90578060791859
259.4485022656772 106.90578060791859
260.2002831161181 106.90578060791859
260.95206396655897 106.90578060791859
261.7038448169999 106.90578060791859
262.2050320506272 106.15399975747769
262.7062192842545 105.40221890703677
263.20740651788174 104.65043805659587
263.70859375150906 103.89865720615495
263.95918736832266 103.14687635571406
264.20978098513626 102.39509550527313
