Study: 1.2.124.113532.129.195.3.60.20030214.95837.1089330
Series: 1.2.840.113704.1.111.381.1045747056.6
SpacingX: 0.623046875
SpacingY: 0.623046875
SpacingZ: 10.0

label: healthy
localisation: non-relevant
slice_number: 3
nb_points_on_contour: 6
128.3476563 124.609375
153.2695313 155.7617188
151.4003906 170.7148438
125.8554688 213.7050781
107.1640625 208.0976563
85.98046875 170.7148438
nb_points_on_contour: 6
209.9667969 117.7558594
244.234375 136.4472656
247.9726563 171.3378906
218.6894531 201.2441406
185.6679688 178.1914063
180.6835938 147.6621094
slice_number: 6
nb_points_on_contour: 9
188.7832031 96.57226563
203.7363281 83.48828125
228.0351563 96.57226563
264.171875 148.9082031
251.7109375 193.7675781
220.5585938 223.6738281
191.8984375 213.7050781
160.7460938 166.3535156
188.7832031 142.6777344
nb_points_on_contour: 7
138.3164063 88.47265625
110.2792969 87.84960938
72.2734375 158.2539063
83.48828125 214.9511719
107.7871094 236.7578125
145.7929688 199.375
118.3789063 168.8457031
slice_number: 8
nb_points_on_contour: 9
181.3066406 83.48828125
219.9355469 78.50390625
262.3027344 128.3476563
261.6796875 181.9296875
234.265625 225.5429688
218.0664063 231.7734375
189.40625 219.3125
168.2226563 185.0449219
189.40625 144.546875
nb_points_on_contour: 7
142.6777344 78.50390625
98.44140625 84.734375
63.55078125 160.1230469
82.2421875 228.6582031
105.2949219 240.4960938
135.2011719 220.5585938
120.8710938 179.437
slice_number: 9
nb_points_on_contour: 285
106.54101562499997 149.2197265625
104.671875 147.9736328125
102.1796875 147.3505859375
100.31054687499997 146.1044921875
98.44140625 144.8583984375
96.572265625 144.2353515625
94.703125 142.3662109375
92.83398437499997 141.1201171875
91.587890625 139.2509765625
89.71875 137.3818359375
89.095703125 135.5126953125
87.84960937499999 133.6435546875
87.84960937499999 131.7744140625
88.47265625 129.9052734375
90.341796875 128.6591796875
92.2109375 128.0361328125
94.080078125 127.41308593749999
95.94921875 127.41308593749999
97.818359375 127.41308593749999
99.68749999999997 127.41308593749999
100.93359375 125.54394531250001
